municipio_id	municipio	estado	tempo_habitual_desloc	qtd_pessoas	tempo_medio_minutos					
2700201	Anadia	AL	30	1787	None					
2700201	Anadia	AL	60	375	None					
2700201	Anadia	AL	120	139	None					
2700201	Anadia	AL	120+	5	None					
2700201	Anadia	AL	Total	3071	21					
2700300	Arapiraca	AL	5	8560	None					
2700300	Arapiraca	AL	30	43882	None					
2700300	Arapiraca	AL	60	9152	None					
2700300	Arapiraca	AL	120	1786	None					
2700300	Arapiraca	AL	120+	223	None					
2700300	Arapiraca	AL	Total	63603	22					
2700409	Atalaia	AL	5	1382	None					
2700409	Atalaia	AL	30	4090	None					
2700409	Atalaia	AL	60	1905	None					
2700409	Atalaia	AL	120	664	None					
2700409	Atalaia	AL	120+	159	None					
2700409	Atalaia	AL	Total	8201	29					
2700508	Barra de Santo Antônio	AL	5	513	None					
2700508	Barra de Santo Antônio	AL	30	1382	None					
2700508	Barra de Santo Antônio	AL	60	809	None					
2700508	Barra de Santo Antônio	AL	120	346	None					
2700508	Barra de Santo Antônio	AL	120+	31	None					
2700508	Barra de Santo Antônio	AL	Total	3081	32					
2700607	Barra de São Miguel	AL	5	494	None					
2700607	Barra de São Miguel	AL	30	1748	None					
2700607	Barra de São Miguel	AL	60	318	None					
2700607	Barra de São Miguel	AL	120	32	None					
2700607	Barra de São Miguel	AL	120+	3	None					
2700607	Barra de São Miguel	AL	Total	2595	19					
2700706	Batalha	AL	5	970	None					
2700706	Batalha	AL	30	2816	None					
2700706	Batalha	AL	60	743	None					
2700706	Batalha	AL	120	211	None					
2700706	Batalha	AL	120+	31	None					
2700706	Batalha	AL	Total	4770	23					
2700805	Belém	AL	5	390	None					
2700805	Belém	AL	30	718	None					
2700805	Belém	AL	60	214	None					
2700805	Belém	AL	120	54	None					
2700805	Belém	AL	120+	6	None					
2700805	Belém	AL	Total	1382	21					
2700904	Belo Monte	AL	5	334	None					
2700904	Belo Monte	AL	30	984	None					
2700904	Belo Monte	AL	60	279	None					
2700904	Belo Monte	AL	120	81	None					
2700904	Belo Monte	AL	120+	15	None					
2700904	Belo Monte	AL	Total	1692	24					
2701001	Boca da Mata	AL	5	1165	None					
2701001	Boca da Mata	AL	30	2893	None					
2701001	Boca da Mata	AL	60	803	None					
2701001	Boca da Mata	AL	120	267	None					
